"ISO.Code","Country.Name","SDG.Region","SDG.Subregion","UNICEF.Region","UNICEF.Programme.Region","Uncertainty.Bounds.","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"AFG","Afghanistan","Central and Southern Asia","Southern Asia","South Asia","South Asia","Lower",122.0501,118.1708,114.2417,110.241,106.123,102.0219,97.8591,93.6185,89.4488,85.264,81.2312,77.4353,73.9144,70.6092,67.463,64.3258,61.2922,58.3534,55.407,52.5264,49.9433,47.3435,44.8188,42.4156
"AFG","Afghanistan","Central and Southern Asia","Southern Asia","South Asia","South Asia","Median",131.6572,127.4307,123.1415,118.731,114.2366,109.6527,105.0852,100.6716,96.3436,92.2038,88.3016,84.6279,81.2086,78.023,75.1236,72.4387,69.97,67.6374,65.4299,63.3243,61.3055,59.3354,57.3906,55.5079
"AFG","Afghanistan","Central and Southern Asia","Southern Asia","South Asia","South Asia","Upper",142.2544,137.8682,133.2336,128.2609,123.1502,118.042,113.0392,108.2139,103.8148,99.5677,95.8091,92.2668,88.9799,85.9684,83.3441,81.1055,79.125,77.4983,76.1318,75.2145,74.4663,73.6142,73.1177,72.6995
"AGO","Angola","Sub-Saharan Africa","","Eastern and Southern Africa","Eastern and Southern Africa","Lower",177.8788,171.7637,165.1826,157.2229,148.4655,138.6325,127.5356,116.0789,104.4286,93.2885,82.8756,72.7493,63.3238,55.4758,49.8735,45.1855,41.5722,38.4725,35.8585,33.6531,31.4071,29.855,28.2879,26.8203
"AGO","Angola","Sub-Saharan Africa","","Eastern and Southern Africa","Eastern and Southern Africa","Median",203.0085,196.9048,189.9073,182.2487,173.7812,165.0204,155.4678,146.02,136.9606,128.2249,119.8198,112.0528,104.7906,98.2898,92.7677,88.1533,84.0566,80.473,77.2545,74.3629,71.5969,68.9975,66.437,64.0126
"AGO","Angola","Sub-Saharan Africa","","Eastern and Southern Africa","Eastern and Southern Africa","Upper",232.2189,226.7433,219.9274,212.2242,204.1843,196.1504,188.4924,181.9206,175.8406,170.6382,165.861,161.8902,158.332,155.0188,151.7893,148.6877,146.2368,144.2864,141.6326,139.8895,137.9941,135.736,133.5377,131.9715
"AIA","Anguilla","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Lower",8.2072,7.882,7.5735,7.2958,6.9908,6.7266,6.5036,6.2868,6.0833,5.8574,5.608,5.3737,5.111,4.8591,4.5841,4.3146,4.0799,3.8723,3.6727,3.4724,3.2986,3.1419,2.9637,2.8285
"AIA","Anguilla","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Median",11.9023,11.4608,11.0353,10.6458,10.2898,9.9633,9.6636,9.3504,9.0674,8.808,8.5522,8.3111,8.0818,7.8607,7.6393,7.4037,7.1803,6.9645,6.7475,6.562,6.3565,6.1424,5.9432,5.7652
"AIA","Anguilla","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Upper",17.2229,16.5854,16.0529,15.5821,15.1277,14.6729,14.2976,13.9198,13.5599,13.2779,13.0559,12.881,12.7656,12.7292,12.7054,12.6167,12.5669,12.4868,12.3905,12.2099,12.1171,11.9318,11.8155,11.7418
"ALB","Albania","Europe and Northern America","Europe","Eastern Europe and Central Asia","Europe and Central Asia","Lower",24.6185,23.587,22.5287,21.4782,20.3908,19.1961,17.9172,16.5836,15.2845,14.0388,12.8608,11.7756,10.8382,10.1058,9.5788,9.223,9.0393,8.965,8.9542,8.9349,8.8762,8.7375,8.5204,8.2146
"ALB","Albania","Europe and Northern America","Europe","Eastern Europe and Central Asia","Europe and Central Asia","Median",27.0985,25.7174,24.3143,22.8801,21.4263,19.9558,18.5057,17.0961,15.7533,14.4827,13.2804,12.1693,11.2176,10.4722,9.9259,9.5783,9.3989,9.3367,9.3429,9.3864,9.4332,9.4651,9.4457,9.3709
"ALB","Albania","Europe and Northern America","Europe","Eastern Europe and Central Asia","Europe and Central Asia","Upper",29.8842,28.0893,26.2605,24.3985,22.5352,20.7582,19.1133,17.6246,16.2344,14.9303,13.7075,12.5677,11.6035,10.8351,10.2963,9.9426,9.7627,9.7152,9.7466,9.848,10.0071,10.2255,10.479,10.6964
"AND","Andorra","Europe and Northern America","Europe","Western Europe","Non-programme countries","Lower",3.7691,3.7299,3.668,3.5818,3.4261,3.2424,3.0817,2.8639,2.6453,2.4099,2.2004,1.9845,1.7665,1.5846,1.3876,1.2194,1.0842,0.9862,0.9086,0.8498,0.7984,0.7492,0.7095,0.669
"AND","Andorra","Europe and Northern America","Europe","Western Europe","Non-programme countries","Median",7.5976,7.2384,6.8963,6.5663,6.2484,5.9627,5.6472,5.3637,5.0845,4.8256,4.5866,4.3602,4.1397,3.9356,3.7269,3.5412,3.3655,3.2105,3.084,2.9662,2.8565,2.7631,2.6685,2.5776
"AND","Andorra","Europe and Northern America","Europe","Western Europe","Non-programme countries","Upper",15.1933,13.8438,12.7024,11.8663,11.0562,10.4566,10.1163,9.8999,9.7419,9.641,9.6978,9.7098,9.7809,9.9663,10.1047,10.3249,10.5414,10.7148,10.7341,10.6884,10.5665,10.4394,10.3347,10.0854
"ARE","United Arab Emirates","Northern Africa and Western Asia","Western Asia","Middle East and North Africa","Middle East and North Africa","Lower",10.1345,9.9478,9.7645,9.5804,9.3989,9.2153,9.0428,8.858,8.6772,8.4937,8.3102,8.1183,7.921,7.7124,7.4826,7.2271,6.9262,6.6093,6.2735,5.9245,5.5576,5.176,4.7877,4.4178
"ARE","United Arab Emirates","Northern Africa and Western Asia","Western Asia","Middle East and North Africa","Middle East and North Africa","Median",10.7211,10.5219,10.3271,10.1424,9.9541,9.7616,9.5769,9.3865,9.1992,9.0056,8.806,8.6108,8.4041,8.1775,7.9318,7.6564,7.3481,7.0141,6.6606,6.3045,5.9554,5.624,5.3102,5.0286
"ARE","United Arab Emirates","Northern Africa and Western Asia","Western Asia","Middle East and North Africa","Middle East and North Africa","Upper",11.3482,11.1447,10.9329,10.7295,10.5245,10.3213,10.1298,9.9319,9.7399,9.5358,9.3259,9.1215,8.9066,8.675,8.4038,8.121,7.8012,7.4411,7.0688,6.7081,6.3661,6.0962,5.8785,5.7164
"ARG","Argentina","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Lower",18.9833,18.4258,17.965,17.4883,16.9613,16.4129,15.9192,15.5066,15.0955,14.6635,14.168,13.6148,13.0341,12.4357,11.8831,11.3712,10.9149,10.5341,10.1957,9.888,9.5963,9.2592,8.8874,8.4922
"ARG","Argentina","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Median",19.3566,18.7862,18.3058,17.83,17.2944,16.7334,16.2292,15.7974,15.3888,14.944,14.4406,13.8827,13.2863,12.705,12.1898,11.7465,11.3631,11.0346,10.7455,10.4831,10.2582,10.0469,9.8458,9.6485
"ARG","Argentina","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Upper",19.724,19.1466,18.6443,18.1683,17.6173,17.0503,16.5359,16.0935,15.687,15.2286,14.7209,14.1549,13.5413,12.9811,12.5044,12.1303,11.8247,11.5585,11.3255,11.1232,10.9759,10.9192,10.9204,10.9614
"ARM","Armenia","Northern Africa and Western Asia","Western Asia","Eastern Europe and Central Asia","Europe and Central Asia","Lower",27.5949,26.2092,24.8619,23.5316,22.268,21.0683,19.9408,18.8656,17.8579,16.9155,16.0061,15.1829,14.4031,13.6708,12.9925,12.3526,11.7257,11.1487,10.6007,10.0674,9.5538,9.0432,8.5381,8.0301
"ARM","Armenia","Northern Africa and Western Asia","Western Asia","Eastern Europe and Central Asia","Europe and Central Asia","Median",30.7515,29.2827,27.8841,26.5417,25.2292,23.9904,22.8161,21.7062,20.6481,19.6507,18.7093,17.8141,16.9601,16.1563,15.3804,14.6489,13.9707,13.3218,12.7115,12.132,11.5714,11.0392,10.5306,10.0445
"ARM","Armenia","Northern Africa and Western Asia","Western Asia","Eastern Europe and Central Asia","Europe and Central Asia","Upper",33.8427,32.2406,30.719,29.2413,27.854,26.512,25.2694,24.1288,23.0381,22.0196,21.0521,20.1531,19.2674,18.4557,17.697,16.9616,16.2533,15.5993,14.9897,14.4062,13.92,13.4674,13.0605,12.6775
"ATG","Antigua and Barbuda","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Lower",13.3809,13.0716,12.7179,12.3917,12.061,11.76,11.4777,11.2421,11.0029,10.7486,10.5394,10.3048,10.0915,9.9118,9.7233,9.5449,9.3591,9.1169,8.8393,8.4725,8.0784,7.6331,7.2078,6.7933
"ATG","Antigua and Barbuda","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Median",14.9301,14.6122,14.292,13.9653,13.6403,13.3247,13.0061,12.712,12.4475,12.1869,11.944,11.727,11.5228,11.335,11.1595,10.9706,10.8097,10.6402,10.4796,10.2791,10.0627,9.8271,9.5832,9.331
"ATG","Antigua and Barbuda","Latin America and the Caribbean","","Latin America and Caribbean","Latin America and Caribbean","Upper",16.6824,16.3827,16.0686,15.7543,15.4158,15.0436,14.6989,14.3525,14.041,13.7686,13.5372,13.3545,13.187,12.9875,12.8032,12.6197,12.5106,12.487,12.5138,12.5736,12.6319,12.6646,12.7292,12.8007
"AUS","Australia","Oceania","Australia and New Zealand","East Asia and Pacific","Non-programme countries","Lower",6.0751,5.9617,5.8659,5.7957,5.7159,5.6134,5.4752,5.3063,5.1179,4.9042,4.6756,4.4436,4.2242,4.0385,3.889,3.7938,3.7409,3.7158,3.7082,3.7004,3.6878,3.6629,3.6147,3.5262
"AUS","Australia","Oceania","Australia and New Zealand","East Asia and Pacific","Non-programme countries","Median",6.1924,6.0771,5.982,5.9091,5.8321,5.7246,5.5841,5.4139,5.2193,5.0028,4.7694,4.5339,4.3146,4.126,3.9793,3.881,3.8255,3.7986,3.789,3.7838,3.773,3.7495,3.7134,3.6655
"AUS","Australia","Oceania","Australia and New Zealand","East Asia and Pacific","Non-programme countries","Upper",6.3108,6.1968,6.1036,6.0255,5.9497,5.8406,5.697,5.5253,5.3236,5.1066,4.8664,4.6267,4.4051,4.2131,4.0673,3.9664,3.9101,3.8851,3.8751,3.8749,3.8615,3.8379,3.8161,3.8092
"AUT","Austria","Europe and Northern America","Europe","Western Europe","Non-programme countries","Lower",5.3121,5.2143,5.115,5.0023,4.8716,4.7294,4.5886,4.4677,4.3756,4.2793,4.1629,4.0311,3.8898,3.7598,3.6449,3.5618,3.5021,3.4505,3.4062,3.3478,3.2769,3.1807,3.0553,2.8995
"AUT","Austria","Europe and Northern America","Europe","Western Europe","Non-programme countries","Median",5.4989,5.4034,5.3067,5.1879,5.0508,4.9058,4.7656,4.6427,4.5434,4.4441,4.3258,4.1883,4.0477,3.917,3.8025,3.7122,3.6467,3.5938,3.5486,3.4937,3.4205,3.3291,3.2288,3.1264
"AUT","Austria","Europe and Northern America","Europe","Western Europe","Non-programme countries","Upper",5.693,5.6036,5.5069,5.3799,5.2466,5.0932,4.947,4.8217,4.7163,4.6212,4.4969,4.3539,4.2113,4.0702,3.9587,3.8665,3.797,3.7429,3.6957,3.6442,3.5701,3.4832,3.4089,3.3717
"AZE","Azerbaijan","Northern Africa and Western Asia","Western Asia","Eastern Europe and Central Asia","Europe and Central Asia","Lower",65.9511,60.8704,55.9875,51.7272,47.7567,44.2778,41.227,38.4427,35.9006,33.4609,31.083,28.9843,26.9823,25.1675,23.4655,21.8907,20.4843,19.1241,17.8201,16.6716,15.543,14.429,13.2897,12.2099
"AZE","Azerbaijan","Northern Africa and Western Asia","Western Asia","Eastern Europe and Central Asia","Europe and Central Asia","Median",74.0347,69.0202,64.1261,59.5717,55.4696,51.8348,48.494,45.4542,42.6721,40.1174,37.703,35.3758,33.2253,31.2482,29.4655,27.8065,26.2971,24.9221,23.616,22.4372,21.3304,20.3674,19.4345,18.5556
"AZE","Azerbaijan","Northern Africa and Western Asia","Western Asia","Eastern Europe and Central Asia","Europe and Central Asia","Upper",83.2768,78.1023,73.0829,68.305,64.0415,60.1138,56.6463,53.4945,50.6351,48.03,45.555,43.1603,40.8278,38.7318,36.7996,34.9286,33.4312,32.208,31.0484,30.1237,29.4307,28.8652,28.5705,28.4047
"BDI","Burundi","Sub-Saharan Africa","","Eastern and Southern Africa","Eastern and Southern Africa","Lower",138.9747,134.1914,128.9435,123.4266,117.214,110.9269,104.0959,97.3104,90.6739,84.2164,78.2303,72.6134,66.8366,61.4627,56.1604,51.6948,47.7411,43.9629,40.7276,37.8418,35.2181,32.9086,30.7141,28.6826
