DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,91.0381179041598,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,88.9413148862125,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,85.8285785437647,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,83.1399057895412,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_CA: (SDGRC) Central Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,80.5835230505014,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,63.9295421019506,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,61.8699142513379,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,59.9262249293627,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,58.0699311497812,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_EA: (SDGRC) Eastern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,56.3503918940446,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_NA: (SDGRC) North Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,30.5195417980991,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_NA: (SDGRC) North Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,29.7698797344699,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_NA: (SDGRC) North Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,28.9737807617501,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_NA: (SDGRC) North Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,28.1283449354141,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_NA: (SDGRC) North Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,27.2859878696653,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,59.8168073421856,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,57.9143797221393,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,56.2850362128637,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,54.6895212290797,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_SA: (SDGRC) Southern Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,53.3804825379484,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,73.3125417734725,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,71.3733535427972,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,69.478762202845,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,67.566511953738,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_ALL: (SDGRC) United Nations Economic Commission for Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,65.7083918633763,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,104.512476264084,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,101.876116803784,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,99.3076389739889,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,96.5566261768346,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,SDGRC_ECA_WA: (SDGRC) West Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,93.7439237559601,,"D_PER_1000_B: Deaths per 1,000 live births",,,,,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,65.4298993690391,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,55.4070292561668,76.1318165096319,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,63.3243188292192,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,52.5264069662,75.2145404816498,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,61.3055387997174,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,49.9433442213359,74.4662853458725,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2021,59.3354287138306,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,47.3435073160204,73.6142116097595,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2022,57.3906363339213,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.8187836636417,73.1177477315738,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,WHO_AFRO: Africa,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,78.0660368805509,,"D_PER_1000_B: Deaths per 1,000 live births",,,72.5949037838865,86.4906567612332,,,,UN_IGME,,,,,,_T: Total
