ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language,DateModified
EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,TRUE,5.49,5.49,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,ALB,Albania,Year,2020,TRUE,58.21,58.21,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,DZA,Algeria,Year,2022,TRUE,25.08,25.08,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,AND,Andorra,Year,2023,TRUE,47.22,47.22,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,AGO,Angola,Year,2022,TRUE,18.73,18.73,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2019,TRUE,96.5,96.5,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,ARG,Argentina,Year,2023,TRUE,47.49,47.49,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,ARM,Armenia,Year,2022,TRUE,47.47,47.47,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,AUS,Australia,Year,2022,TRUE,134.5,134.5,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,AUT,Austria,Year,2022,TRUE,112.8,112.8,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,AZE,Azerbaijan,Year,2022,TRUE,55.78,55.78,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,BHS,Bahamas,Year,2023,TRUE,42.24,42.24,EN,2025-01-13T17:00:00.000Z
EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2020,TRUE,26.48,26.48,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2023,TRUE,6.64,6.64,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,BRB,Barbados,Year,2023,TRUE,36.66,36.66,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,BLR,Belarus,Year,2023,TRUE,108.2,108.15,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,BEL,Belgium,Year,2021,TRUE,128.9,128.85,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,BLZ,Belize,Year,2023,TRUE,20.6,20.6,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,BEN,Benin,Year,2023,TRUE,6.11,6.11,EN,2025-01-13T17:00:00.000Z
SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,TRUE,20.52,20.52,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2021,TRUE,16.24,16.24,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2022,TRUE,67.27,67.27,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,BWA,Botswana,Year,2023,TRUE,30.18,30.18,EN,2025-01-13T17:00:00.000Z
AMR,Americas,Country,BRA,Brazil,Year,2023,TRUE,55.02,55.02,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2021,TRUE,66.17,66.17,EN,2025-01-13T17:00:00.000Z
EUR,Europe,Country,BGR,Bulgaria,Year,2023,TRUE,42.04,42.04,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,BFA,Burkina Faso,Year,2023,TRUE,9.49,9.49,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,BDI,Burundi,Year,2023,TRUE,7.94,7.94,EN,2025-01-13T17:00:00.000Z
AFR,Africa,Country,CPV,Cabo Verde,Year,2023,TRUE,17.98,17.98,EN,2025-01-13T17:00:00.000Z
WPR,Western Pacific,Country,KHM,Cambodia,Year,2019,TRUE,10.08,10.08,EN,2025-01-13T17:00:00.000Z
